sNum,sID,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,habTrialNo,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,1,1,P_intro,intro.mp4,0,,17.834446651977487,1,0,0,0,0,17.834446651977487,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,2,1,O_intro,Intro_AppleBanana.mp4,0,,24.89352752501145,2,0.33358391805086285,1,0,0,25.227111988002434,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,3,1,O_intro_S,AB_intro_S.png,0,,34.68185207224451,9,9.507459806860425,9,0,0,44.18931953399442,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,4,1,ConPos,CONPOS_BananaApple_Banana.mp4,0,,24.05915152898524,1,0,0,0,0,24.05915152898524,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,5,1,Still,BA_B.png,0,,14.66705553396605,4,4.670079738018103,4,0,0,19.337144094053656,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,6,1,ConPos,CONPOS_AppleBanana_Banana.mp4,0,,24.076128324028105,1,0,0,0,0,24.076128324028105,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,7,1,Still,AB_B.png,0,,24.975150663172826,3,4.769847854971886,3,0,0,29.74500428105239,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,8,1,O_intro,Intro_BallCar.mp4,0,,25.52355389704462,1,0,0,0,0,25.52355389704462,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,9,1,O_intro_S,BC_intro_S.png,0,,19.18692781298887,1,2.001507963053882,1,0,0,21.18843978701625,1
1,CoBr,29,3,m,"{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,10,1,ConNeg,CONNEG_CarBall_Ball.mp4,0,,24.121464867028408,1,0,0,0,0,24.121464867028408,1
