sNum,sID,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,habTrialNo,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,1,1,P_intro,intro.mp4,0,,17.83374164206907,1,0,0,0,0,17.83374164206907,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,2,1,O_intro,Intro_AppleBanana.mp4,0,,25.24263398000039,1,0,0,0,0,25.24263398000039,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,3,1,O_intro_S,AB_intro_S.png,0,,17.085024881991558,2,2.7855987459188327,2,0,0,19.870629003969952,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,4,1,ConPos,CONPOS_AppleBanana_Apple.mp4,0,,24.14052301098127,1,0,0,0,0,24.14052301098127,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,5,1,Still,AB_A.png,0,,33.147465878981166,5,6.7385489019798115,5,0,0,39.8860226739198,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,6,1,ConPos,CONPOS_BananaApple_Apple.mp4,0,,24.52247385296505,1,0,0,0,0,24.52247385296505,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,7,1,Still,BA_A.png,0,,22.471837041084655,1,2.001560042030178,1,0,0,24.473402820061892,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,8,1,O_intro,Intro_DuckBear.mp4,0,,26.894816863001324,1,0,0,0,0,26.894816863001324,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,9,1,O_intro_S,BD_intro_S.png,0,,9.328116229968145,2,2.718744056066498,2,0,0,12.046873311046511,1
3,AuMa,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",3,10,1,ConNeg,CONNEG_BearDuck_Bear.mp4,0,,24.12537095998414,1,0,0,0,0,24.12537095998414,1
