snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,1,P_intro,0,17.83374164206907,17.83374164206907
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,2,O_intro,0,25.24263398000039,25.24263398000039
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,3,O_intro_S,0,2.924209948978387,2.924209948978387
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,3,O_intro_S,2.924211320001632,3.708280239952728,0.7840689199510962
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,3,O_intro_S,3.7082795850001276,17.8690945180133,14.160814933013171
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,3,O_intro_S,17.869096218026243,19.87062604399398,2.0015298259677365
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,4,ConPos,0,24.14052301098127,24.14052301098127
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,5,Still,0,10.780312279006466,10.780312279006466
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,0,5,Still,10.780314223957248,12.64838811790105,1.8680738939438015
3,26,18,f,"{'ConPos': ['CONPOS_AppleBanana_Apple.mp4', 'CONPOS_BananaApple_Apple.mp4'], 'ConNeg': ['CONNEG_BearDuck_Bear.mp4', 'CONNEG_DuckBear_Bear.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_DuckBear.mp4', 'Intro_BallCar.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BD_intro_S.png', 'BC_intro_S.png', 'CS_intro_S.png'], 'Still': ['AB_A.png', 'BA_A.png', 'BD_B.png', 'DB_B.png', 'CB_C.png', 'BC_C.png', 'CS_C.png', 'SC_C.png'], 'Test': ['INPOS_CarBall_Car.mp4', 'INPOS_BallCar_Car.mp4', 'INNEG_CupSpoon_Cup.mp4', 'INNEG_SpoonCup_Cup.mp4']}",1,1,5,Still,12.648387541994452,23.840290953987278,11.191903411992826
